,train,val,test
0,BRACS_1972,BRACS_1416,BRACS_1240
1,BRACS_1973,BRACS_1614,BRACS_1241
2,BRACS_1965,BRACS_1631,BRACS_1242
3,BRACS_1966,BRACS_1632,BRACS_1596
4,BRACS_1967,BRACS_1633,BRACS_1401
5,BRACS_1295,BRACS_1634,BRACS_1403
6,BRACS_1296,BRACS_1003705,BRACS_1404
7,BRACS_1273,BRACS_3337,BRACS_1405
8,BRACS_1274,BRACS_1003675,BRACS_1003706
9,BRACS_1275,BRACS_1003707,BRACS_1655
10,BRACS_1276,BRACS_1003669,BRACS_1656
11,BRACS_1248,BRACS_1003731,BRACS_1658
12,BRACS_1267,BRACS_1003732,BRACS_1659
13,BRACS_1269,BRACS_1797,BRACS_1660
14,BRACS_1270,BRACS_1798,BRACS_1661
15,BRACS_1321,BRACS_1799,BRACS_1325
16,BRACS_1322,BRACS_1239,BRACS_1326
17,BRACS_1324,BRACS_1255,BRACS_1327
18,BRACS_1329,BRACS_1257,BRACS_1003713
19,BRACS_1330,BRACS_1259,BRACS_1003714
20,BRACS_1334,BRACS_1813,BRACS_1003717
21,BRACS_1335,BRACS_1272,BRACS_1003718
22,BRACS_1336,BRACS_1616,BRACS_1993
23,BRACS_1337,BRACS_1617,BRACS_1994
24,BRACS_1338,BRACS_1618,BRACS_1995
25,BRACS_1423,BRACS_1620,BRACS_1996
26,BRACS_1424,BRACS_1621,BRACS_1997
27,BRACS_1619,BRACS_1622,BRACS_1998
28,BRACS_1480,BRACS_1808,BRACS_1999
29,BRACS_1581,BRACS_1810,BRACS_2000
30,BRACS_1582,BRACS_1811,BRACS_2001
31,BRACS_1583,BRACS_1812,BRACS_2002
32,BRACS_1584,BRACS_738,BRACS_1578
33,BRACS_1585,BRACS_739,BRACS_1579
34,BRACS_1591,BRACS_740,BRACS_1580
35,BRACS_1592,BRACS_1511,BRACS_1483
36,BRACS_1593,BRACS_1512,BRACS_1484
37,BRACS_1594,BRACS_1513,BRACS_1485
38,BRACS_1595,BRACS_1514,BRACS_1486
39,BRACS_1603,BRACS_1515,BRACS_1487
40,BRACS_1604,BRACS_1635,BRACS_1473
41,BRACS_1605,BRACS_1636,BRACS_1474
42,BRACS_1606,BRACS_1637,BRACS_1476
43,BRACS_1612,BRACS_1638,BRACS_1587
44,BRACS_1664,BRACS_1639,BRACS_1588
45,BRACS_1665,BRACS_1640,BRACS_1589
46,BRACS_1666,BRACS_1641,BRACS_1590
47,BRACS_1667,BRACS_1642,BRACS_757
48,BRACS_3268,BRACS_1643,BRACS_758
49,BRACS_3269,BRACS_748,BRACS_759
50,BRACS_3270,BRACS_749,BRACS_760
51,BRACS_3271,BRACS_750,BRACS_761
52,BRACS_3272,BRACS_752,BRACS_762
53,BRACS_3273,BRACS_753,BRACS_1379
54,BRACS_3274,BRACS_754,BRACS_3284
55,BRACS_3275,BRACS_755,BRACS_3285
56,BRACS_3276,BRACS_756,BRACS_1003708
57,BRACS_3277,BRACS_3318,BRACS_1791
58,BRACS_3278,BRACS_3319,BRACS_1792
59,BRACS_3279,BRACS_3320,BRACS_1793
60,BRACS_3281,BRACS_3321,BRACS_1794
61,BRACS_3282,,BRACS_1795
62,BRACS_3283,,BRACS_1796
63,BRACS_3295,,BRACS_3289
64,BRACS_3296,,BRACS_3290
65,BRACS_3298,,BRACS_1247
66,BRACS_264,,BRACS_1945
67,BRACS_265,,BRACS_1952
68,BRACS_1249,,BRACS_1954
69,BRACS_1962,,BRACS_1955
70,BRACS_1963,,
71,BRACS_1964,,
72,BRACS_3309,,
73,BRACS_3310,,
74,BRACS_3311,,
75,BRACS_3312,,
76,BRACS_3313,,
77,BRACS_3334,,
78,BRACS_3335,,
79,BRACS_3336,,
80,BRACS_1879,,
81,BRACS_1893,,
82,BRACS_1960,,
83,BRACS_1961,,
84,BRACS_2004,,
85,BRACS_2005,,
86,BRACS_1253,,
87,BRACS_1244,,
88,BRACS_1261,,
89,BRACS_1957,,
90,BRACS_1958,,
91,BRACS_1959,,
92,BRACS_1668,,
93,BRACS_1669,,
94,BRACS_1003710,,
95,BRACS_1003685,,
96,BRACS_1003734,,
97,BRACS_1385,,
98,BRACS_1003700,,
99,BRACS_1003658,,
100,BRACS_1003659,,
101,BRACS_1003686,,
102,BRACS_1003730,,
103,BRACS_1003671,,
104,BRACS_1003672,,
105,BRACS_1003668,,
106,BRACS_1003715,,
107,BRACS_1003716,,
108,BRACS_1003724,,
109,BRACS_1003725,,
110,BRACS_1949,,
111,BRACS_1984,,
112,BRACS_1986,,
113,BRACS_1987,,
114,BRACS_1988,,
115,BRACS_1989,,
116,BRACS_1982,,
117,BRACS_1983,,
118,BRACS_1860,,
119,BRACS_1861,,
120,BRACS_1862,,
121,BRACS_1863,,
122,BRACS_1864,,
123,BRACS_1865,,
124,BRACS_1866,,
125,BRACS_1932,,
126,BRACS_1933,,
127,BRACS_1934,,
128,BRACS_310,,
129,BRACS_1974,,
130,BRACS_1975,,
131,BRACS_1977,,
132,BRACS_1978,,
133,BRACS_1979,,
134,BRACS_1980,,
135,BRACS_1981,,
136,BRACS_311,,
137,BRACS_292,,
138,BRACS_301,,
139,BRACS_1361,,
140,BRACS_1362,,
141,BRACS_1366,,
142,BRACS_1367,,
143,BRACS_1368,,
144,BRACS_1919,,
145,BRACS_1920,,
146,BRACS_1921,,
147,BRACS_1922,,
148,BRACS_1923,,
149,BRACS_1927,,
150,BRACS_1928,,
151,BRACS_1929,,
152,BRACS_1930,,
153,BRACS_1931,,
154,BRACS_1817,,
155,BRACS_1820,,
156,BRACS_1821,,
157,BRACS_1823,,
158,BRACS_1824,,
159,BRACS_1825,,
160,BRACS_1826,,
161,BRACS_1913,,
162,BRACS_1914,,
163,BRACS_1915,,
164,BRACS_1916,,
165,BRACS_1917,,
166,BRACS_1918,,
167,BRACS_1924,,
168,BRACS_1925,,
169,BRACS_1926,,
170,BRACS_2007,,
171,BRACS_286,,
172,BRACS_1287,,
173,BRACS_1288,,
174,BRACS_1289,,
175,BRACS_1292,,
176,BRACS_1293,,
177,BRACS_1277,,
178,BRACS_1279,,
179,BRACS_1228,,
180,BRACS_1283,,
181,BRACS_1284,,
182,BRACS_1286,,
