,train,val,test
0,13952_0,26794_0,19693_0
1,13952_1,19677_0,26860_0
2,13955_0,26817_0,26850_0
3,13957_0,13980_0,18853_0
4,13960_0,13980_1,26844_0
5,13961_0,13980_2,26807_0
6,13961_1,26816_0,19692_0
7,13963_0,26797_0,18837_0
8,13963_1,18846_0,26831_0
9,13975_0,26803_0,13962_0
10,13979_0,26851_0,13962_1
11,13983_0,13958_0,19686_0
12,13983_1,13958_1,13977_0
13,13983_2,13958_2,13977_1
14,13983_3,13958_3,13977_2
15,18827_0,19690_0,19684_0
16,18827_1,13971_0,13978_0
17,18827_2,13982_0,13978_1
18,18832_0,26858_0,13966_0
19,18834_0,26788_0,
20,18839_0,,
21,18844_0,,
22,18849_0,,
23,18849_1,,
24,18849_2,,
25,18850_0,,
26,18850_1,,
27,18850_2,,
28,18851_0,,
29,18852_0,,
30,19668_0,,
31,19674_0,,
32,19676_0,,
33,19680_0,,
34,19694_0,,
35,19697_0,,
36,19699_0,,
37,19700_0,,
38,26787_0,,
39,26790_0,,
40,26791_0,,
41,26792_0,,
42,26798_0,,
43,26799_0,,
44,26800_0,,
45,26801_0,,
46,26802_0,,
47,26806_0,,
48,26809_0,,
49,26810_0,,
50,26811_0,,
51,26813_0,,
52,26814_0,,
53,26815_0,,
54,26819_0,,
55,26820_0,,
56,26821_0,,
57,26822_0,,
58,26823_0,,
59,26824_0,,
60,26825_0,,
61,26826_0,,
62,26828_0,,
63,26829_0,,
64,26832_0,,
65,26833_0,,
66,26835_0,,
67,26837_0,,
68,26838_0,,
69,26839_0,,
70,26841_0,,
71,26843_0,,
72,26845_0,,
73,26846_0,,
74,26847_0,,
75,26848_0,,
76,26849_0,,
77,26852_0,,
78,26853_0,,
79,26854_0,,
80,26855_0,,
81,26857_0,,
82,13953_0,,
83,13953_1,,
84,13954_0,,
85,13959_0,,
86,13964_0,,
87,13965_0,,
88,13965_1,,
89,13965_2,,
90,13969_0,,
91,13969_1,,
92,13972_0,,
93,13972_1,,
94,13973_0,,
95,13973_1,,
96,13973_2,,
97,13974_0,,
98,13974_1,,
99,13976_0,,
100,13981_0,,
101,13981_1,,
102,18829_0,,
103,18830_0,,
104,18831_0,,
105,18833_0,,
106,18835_0,,
107,18836_0,,
108,18836_1,,
109,18838_0,,
110,18840_0,,
111,18840_1,,
112,18840_2,,
113,18840_3,,
114,18840_4,,
115,18840_5,,
116,18841_0,,
117,18841_1,,
118,18841_2,,
119,18842_0,,
120,18843_0,,
121,18843_1,,
122,18845_0,,
123,18847_0,,
124,18847_10,,
125,18847_1,,
126,18847_2,,
127,18847_3,,
128,18847_4,,
129,18847_5,,
130,18847_6,,
131,18847_7,,
132,18847_8,,
133,18847_9,,
134,18848_0,,
135,18848_1,,
136,18848_2,,
137,18848_3,,
138,18848_4,,
139,18848_5,,
140,18848_6,,
141,19667_0,,
142,19669_0,,
143,19671_0,,
144,19672_0,,
145,19675_0,,
146,19678_0,,
147,19681_0,,
148,19685_0,,
149,19689_0,,
150,19691_0,,
151,19695_0,,
152,19696_0,,
153,19698_0,,
154,26789_0,,
155,26793_0,,
156,26795_0,,
157,26796_0,,
158,26804_0,,
159,26805_0,,
160,26808_0,,
161,26812_0,,
162,26834_0,,
163,26842_0,,
164,26859_0,,
