,train,val,test
007,True,False,False
018,True,False,False
024,True,False,False
030,True,False,False
038,True,False,False
043,True,False,False
046,True,False,False
054,True,False,False
055,True,False,False
057,True,False,False
068,True,False,False
073,True,False,False
077,True,False,False
078,True,False,False
079,True,False,False
080,True,False,False
081,True,False,False
084,True,False,False
086,True,False,False
088,True,False,False
099,True,False,False
107,True,False,False
108,True,False,False
109,True,False,False
122,True,False,False
125,True,False,False
127,True,False,False
130,True,False,False
137,True,False,False
138,True,False,False
140,True,False,False
141,True,False,False
157,True,False,False
159,True,False,False
160,True,False,False
187,True,False,False
192,True,False,False
196,True,False,False
002,True,False,False
004,True,False,False
016,True,False,False
027,True,False,False
035,True,False,False
041,True,False,False
045,True,False,False
049,True,False,False
062,True,False,False
067,True,False,False
094,True,False,False
096,True,False,False
106,True,False,False
110,True,False,False
115,True,False,False
116,True,False,False
119,True,False,False
139,True,False,False
144,True,False,False
148,True,False,False
149,True,False,False
150,True,False,False
153,True,False,False
165,True,False,False
166,True,False,False
169,True,False,False
173,True,False,False
176,True,False,False
177,True,False,False
180,True,False,False
182,True,False,False
184,True,False,False
185,True,False,False
188,True,False,False
189,True,False,False
191,True,False,False
134,False,True,False
047,False,True,False
178,False,True,False
124,False,True,False
051,False,True,False
098,False,True,False
044,False,True,False
172,False,True,False
121,False,True,False
190,False,True,False
174,False,False,True
120,False,False,True
010,False,False,True
031,False,False,True
005,False,False,True
058,False,False,True
142,False,False,True
183,False,False,True
012,False,False,True
069,False,False,True
