,train,val,test
0,5jcdda1t,13oawotb,ddmh0u0u
1,a9wm35ns,wp8p9ngd,llb51rpl
2,ub642c2t,ljbl9kuz,9443s034
3,uj49228j,xbn8qj12,nya2tghq
4,0veg0ou5,klgzn4xm,294mp7ao
5,qz15zv1i,vb40kio4,2pt40hur
6,ozbkmgox,akoar9jx,spey3rnt
7,5rdkmr2r,6nhqx7vn,ycisurup
8,le2xpv4m,dzvopy4m,qt95oxul
9,q4n9djkb,oby4v9fe,3edao0y9
10,0ueno9cg,8osrmvln,u1ilphyx
11,20ngjmwt,aavjj6dl,8haguiiw
12,b9nuvd5p,ae3vnw2s,4cyzecqy
13,7nyiq3xw,83f1yvw8,cvgzdiwm
14,5ancwi8k,rzfkia6g,bzjqvu0d
15,5i6jpma0,8bup5z8a,2mivi1li
16,zvy86vvj,uem6jith,l9gam80b
17,yep6bygp,os6q3rzm,rt8wrl8w
18,nezr8bei,2bg6adrf,dioqf0qv
19,qf90ew7s,zk3kvkfe,13pi95dw
20,8l7i11oz,hraxt06h,zlu3lu62
21,dowcu1iw,x3x62evp,nzlk66b2
22,6x88xj2g,r8cj17j9,tgqmwus4
23,xwer9u4s,kqkfbp9r,7ohxfx6m
24,42vsrqwt,peesbo3q,covfkmv8
25,14wyri1q,pu22y0wc,716e5lx8
26,smln7egs,0a8f2tx6,drqsjnoq
27,7gkc9mh2,rafm4qnj,hkj8pwhf
28,ec9dthhu,6hy2l2zj,4mbk2wqz
29,1a8ntpnq,qv75b8qr,tua20f9r
30,6qcd8mjb,cbu40kft,posoxytq
31,r3rqmby1,uaabxzo3,5k5kefrp
32,jdjuot87,m2oe3tjp,wvnnduu8
33,7a6i1quq,x5ux3k1f,hzkjmspt
34,hj80l215,bvvq09ph,4jnmkkm0
35,j19g3ll1,tu5tkd4s,s3z9r5q9
36,isa0gabz,vfri0lsb,z9xjswfd
37,vm3aiozr,eg2sdvoa,kc82nuft
38,n2tjbhhy,104cn5ww,47auhy8b
39,4xqs6vif,pege9xfr,n2kw1qi5
40,8813nzvb,490ha1o2,atdinck0
41,20pf96p1,0f1qu9g7,uc0rxtd9
42,p0wgg7zd,,
43,sbo83c5q,,
44,hj55vp6p,,
45,9d6drue3,,
46,49wlal4g,,
47,hmgp3hor,,
48,okgjfv46,,
