,train,val,test
0,522963,411477-A-N,902765
1,1508560G-N,411477-A-N-1,902765C
2,1512129I-N,1613742F,P000902765B
3,1713372B,224800A,109418-X-N
4,1713372E,224800C,109418-E-N
5,1713372F,224800D,109418-G-N
6,P001713372B,224800E,227953A
7,225841-N-N,224800F,227953B
8,225841-L-N,224800H,227953C
9,1625960A,224800I,227953D
10,1625960B,224800J,227953H
11,1625960C,224800K,227953I
12,1625960D,224800L,P001227953B
13,1625960F,224800M,1739259-G-Y
14,1625960G,224800N,1739259-E-Y
15,1625960H,224800O,1801211-B-Y
16,1625960I,224800P,1801211 B-Y
17,1625960J,224800Q,1801211-C-Y
18,1625960L,224800R,2 1609002G
19,P001625960G,224800S,1609002I
20,407984J,224800T,1609002A
21,407984-T-N,224800U,1609002B
22,223338G,224800V,1609002D
23,223338-F-N,224800W,1609002E
24,1902979C-N,224800X,1609002F
25,1949160-C-N,224800Y,1609002H
26,1949160-A-N,3-maintenance6-P001224800K,1609002J
27,312402Q,2-P001224800L,1609002K
28,312402,2000957A-Y,1609002L
29,312402A,1814971B,1609002M
30,312402B,1814971C,1609002N
31,312402C,1814971G,1609002O
32,312402D,1814971H,1609002P
33,312402E,1814971I,1609002P1
34,312402F,3-maintenance5-P001814971B,1609002Y
35,312402G,2-P001814971B,1908223B-Y
36,312402H,1809923A,
37,312402N,1809923B,
38,312402O,3maintenance8 P001809923A,
39,312402P,2-P001809923A,
40,312402V,1922271A-Y,
41,312402R,,
42,312402S,,
43,312402T,,
44,1822186A,,
45,1902079B-N,,
46,201611-F-N,,
47,201611G-N,,
48,1707649A,,
49,1707649C,,
50,1707649D,,
51,1707649E,,
52,1707649F,,
53,1707649G,,
54,P001707649A,,
55,1229332C-N,,
56,1325470C-N,,
57,1431983H-1-N,,
58,1431983H-2-N,,
59,1632152C,,
60,1525978,,
61,1525978A,,
62,1525978B,,
63,1525978C,,
64,1525978D,,
65,1525978E,,
66,1525978G,,
67,1525978O,,
68,1525978R,,
69,1525978S,,
70,1525978T,,
71,1525978U,,
72,1525978V,,
73,1525978X,,
74,1525978Z4,,
75,1525978Z6,,
76,1525978Z7,,
77,1525978Z8,,
78,1525978Z99,,
79,P00181928C,,
80,1810938E-N,,
81,1810938D-N,,
82,1810938E-1-N,,
83,1922917A-N,,
84,1922917B-N,,
85,P001210190K,,
86,210190,,
87,210190A,,
88,210190C,,
89,210190D,,
90,210190F,,
91,210190G,,
92,210190H,,
93,210190I,,
94,210190M,,
95,210190N,,
96,210190O,,
97,210190P,,
98,210190Q,,
99,210190S,,
100,210190U,,
101,210190V,,
102,210190Y,,
103,500203D,,
104,500203-F-Y,,
105,500203-D-Y,,
106,P001832850D,,
107,1832850C,,
108,1832850D,,
109,1941494-F-Y,,
110,1941494-C-Y,,
111,1941494-D-Y,,
112,1941494-G-Y,,
113,1941494-H-Y,,
114,1813872A,,
115,1813872B,,
116,1813872C,,
117,1813872D,,
118,1813872E,,
119,3maintenance10-P001813872B,,
120,2004610B-Y,,
121,P001823176F,,
122,1736414F,,
123,1805427D,,
124,1805427E,,
125,1805427F,,
126,1805427G,,
127,1805427H,,
128,3maintenance2-P001805427B,,
129,1805428F-Y,,
130,1911849B-Y,,
131,1946957B-Y,,
132,1832548A,,
133,1839956B-Y,,
134,1813206C,,
135,1813206F,,
136,1813206G,,
137,1813206H,,
138,1813206I,,
139,3-maintenance1-P001813206B,,
140,1427159G-Y,,
141,P001716341A,,
142,1802840A-Y,,
143,2013094B-Y,,
144,120099,,
145,200099-H-Y,,
146,200099-O-Y,,
147,1623931C-Y,,
148,220725D,,
149,P001220725D,,
150,220725B,,
151,220725C,,
152,220725G,,
153,220725I,,
154,220725J,,
155,220725K,,
156,220725L,,
157,220725M,,
158,220725N,,
159,220725O,,
160,1628757C,,
161,1628757D,,
162,1628757F,,
163,2-P001628757C,,
164,3-maintenance3-P001628757B,,
165,1628757G,,
166,1924942C-Y,,
167,2010277B-Y,,
168,421183F.,,
169,420978-F-Y,,
170,420978-A-Y,,
171,420978-D-Y,,
172,420978G-Y,,
173,1610403-B-Y,,
174,1610403A-Y,,
175,2-1613704B,,
176,1610648I-Y,,
177,1612595C,,
178,1631378A-Y,,
179,1805432D,,
180,P001805432A,,
181,1702510F,,
182,2014353A-Y,,
183,1717035D,,
184,3mainttenance7 P001731444E,,
185,1735362J-Y,,
186,1739558A,,
187,1739558C,,
188,1739558D,,
189,1739558E,,
190,1739558F,,
191,1739558G,,
192,1739558H,,
193,3-maintenance9-P001739558B,,
194,1828187C,,
195,3mainttenance4-P001828187A,,
196,1828187A,,
197,1828187B,,
198,1828186-B-Y,,
199,1907335B-Y,,
200,1920531A-Y.,,
201,1920532A-Y,,
202,1929771-A-Y,,
203,1935769C-Y,,
204,2008628A-Y,,
205,1950280-D-Y,,
206,1950280-E-Y,,
207,2010717A-Y,,
208,2010109A-Y,,
