,train,val,test
0,004dd32d9cd167d9cc31c13b704498af,d8b48c0404394e83af61c15ad7eea1a3,9b92d948f0a8ca765ef5ca7ae650273d
1,00f6ea010b008e7b3635910a13b165a5,da05399168ba25410d90c05f8f603012,c0525532319412db3c662254463067aa
2,01227af585a47c16680f927d21a7f06a,63119b7889164b2153a2ec1c829ea853,31e4a1bbfc15b961823e2abfe8a835e2
3,01d20d68bce47bec01d816b893630f18,134160267beeb22f782f92b728cc5abd,fac68c117a18834ee2e9892083d82942
4,0280f8b612771801229e2dde52371141,8bc819037a6ab2932c227d1ac800102f,c95bfd7e7fcb784d245163e8305143cc
5,02a3870e56dbcb6afd73546af54a8457,f9e7b42fd5a1fd18683a846ddfa94c8c,531ce6a7fd3f8699de151e1f07b57970
6,02c2141567e50ff7d04069f70e9c9c5e,b8f511d4afc6bed859861487f76a14d0,cbe58732cb94078090d6a35b712e19d8
7,0325d6b779870b7bd216f3a81f6ab3d7,a280d60407c69e37fad4d7290ac948a6,38c6319c29001aba4db299be8dcfb874
8,035a5208729ef164213954598b8df75d,b6808a211b62298e06b0ac7f30f29882,75cf9bec1ba79a53d29d9d81762e1817
9,03849b0243900d79446bb27849dc0bb2,7e26b6fec976755158177577cf4c9183,5d5ba6a776e985a917f0028258d6593a
10,059ab4f2222a3231845f048a63036083,d8e6c24dadbb377b6934a21ba7ce02c4,fd3926d5158b0502b1a51811c50c3976
11,05cc3233dcb5489d2333ee62339a3226,808b08eee6fcba85c15f66c78d2ad293,5166d94b7a25c6b05b399b16c65a2b6a
12,07e16ae47a5154782affc9dc45b50297,fd08b2bce422f40a465664f9a5f9afdd,ee607b2abd1f6a721b4765ead3fe7aeb
13,095d32f7716c9ff9892a7696d2325ea1,0ebca9447d84a555740f21ef4c585bd6,555d77d0fe4570a4697b91b9608d325e
14,09d4be69a2330cd49298bf30d29cc4e5,56e6cfc2a0ae0f493cf1a98689ca2afe,632e75c2e505dca41ae57573e70932b9
15,0aa6472328e4807ba54a807b8332da0f,dd97a5aebd7c8ed6fb24da05ad92da74,375b2c9501320b35ceb638a3274812aa
