,train,val,test
004dd32d9cd167d9cc31c13b704498af,True,False,False
00f6ea010b008e7b3635910a13b165a5,True,False,False
01227af585a47c16680f927d21a7f06a,True,False,False
01d20d68bce47bec01d816b893630f18,True,False,False
02a3870e56dbcb6afd73546af54a8457,True,False,False
02c2141567e50ff7d04069f70e9c9c5e,True,False,False
035a5208729ef164213954598b8df75d,True,False,False
059ab4f2222a3231845f048a63036083,True,False,False
05cc3233dcb5489d2333ee62339a3226,True,False,False
07e16ae47a5154782affc9dc45b50297,True,False,False
09271f0045c19ac6179771054455b2ce,True,False,False
0981f547380ba7b05772f3e5685b1beb,True,False,False
0aa6472328e4807ba54a807b8332da0f,True,False,False
0ace5c189da8f9f9d9cb92e85f142904,True,False,False
0c4c5c0598098cb221d34dc154cca14f,True,False,False
0c81adeb18c3a36eebc21d53a2052798,True,False,False
0c841425404c56ae1115867cd37a2bdb,True,False,False
0cee71ab57422e04f76e09ef2186fcd5,True,False,False
0e8b496c4be0464a4808bbbe846334a9,True,False,False
0ef695aff0f8378645f8de807856cc0c,True,False,False
0f374b1b7edab897de6d3dcfecd1aac1,True,False,False
102aaf6f71973e1fe82551918255ba58,True,False,False
134160267beeb22f782f92b728cc5abd,True,False,False
1439d6813f1dd6acc639c12ea388c990,True,False,False
149fd3c5d3ede543589633ea0e711c24,True,False,False
16245569965bf8a154f6bd2defc8df7e,True,False,False
170c91c206648c545cfe69c718c059f2,True,False,False
1748c4d7cfd4014f04809b6371935286,True,False,False
1784ab09ff0d41a78a89e36226bf3eb5,True,False,False
17e370eedaa11c265e5cabb3601a2fd2,True,False,False
1836f6539ccc9e37d426603cc4526f8b,True,False,False
184a184ac82d72d499f99b67d6a1c631,True,False,False
19f3f3265bd80f1ee68cff968541639a,True,False,False
1abb6882a5cba3d9c166736825bbe101,True,False,False
1b395ce8fd3eee21b0feb260e477a197,True,False,False
1bd161a24fc63eed0e1bc3742e0dc7fd,True,False,False
1cb4a7d3594586b84849e63b828de968,True,False,False
1d435035f56a641e0fa2c9eea34bd8f2,True,False,False
1dd5d88d1e936e032ebb4840b46546f3,True,False,False
1f1440204eba45ff4f999795c7d52040,True,False,False
1f86b6a526481bc5d2ca18d94f94f062,True,False,False
22c2e58ea58b90066e98d86bfb8a0baf,True,False,False
239e61368d2da4c31752f3d7a9173f6f,True,False,False
23da95939f6c2de791206800db861c1c,True,False,False
2470531626032d9f836359f11fd4fdf7,True,False,False
24c94ed90d7bc1ea0353ebf23c887536,True,False,False
2577c90f6ee46adf9d3f7c16ba8db9c3,True,False,False
25f05be992338d0229bf3a5cd110143c,True,False,False
275adc34d57f1e6ce223e7a462569fbe,True,False,False
27edf875a1201b124fd11124451dad4e,True,False,False
2ad0a0582297b6f2ddb131796e300ee3,True,False,False
2b1ea815af8da3697c64c682855f9b3b,True,False,False
2cf2371193eb1c0cf34ca2562004d5e2,True,False,False
2d7eef10a777361cd0872f70dda344ba,True,False,False
2e5002e01c53488e4f40c4a68b3cd4b6,True,False,False
2ec367872ec7245522d6090ae792d6e0,True,False,False
2f06601cb2159b6b369e145d19e59081,True,False,False
2f0a9b15f067539455c1a5548a114f78,True,False,False
2f27c52c7d58fbe0818d6531d3707c78,True,False,False
2fd30e8bcadfd927b8280fb9d7fdb610,True,False,False
2fe856ea963cd9d023f693db12fe696e,True,False,False
3094f0e7f338e708620942f9f939c7cf,True,False,False
310c156419ea422872c92052fddd902b,True,False,False
316a926df7392be710915fdaaebbf18b,True,False,False
31a2c62376a98ed5062bbe72a92b3541,True,False,False
31e4a1bbfc15b961823e2abfe8a835e2,True,False,False
33105f777ddf03e095ed3350179b41da,True,False,False
331df8bf3a7f766dfe45ed525040fa85,True,False,False
33431b7e55430ad8b17a6a61f9ce8f88,True,False,False
33deab5742944fa2f58e248c572f04d1,True,False,False
344764125b7586cb29d3af60106bd807,True,False,False
3479b69cf34e5241ddabe268dc304c56,True,False,False
34b9896eebff5d0501dc23156b26f2b3,True,False,False
34f9cb8a992bc7fab6593d27d59f6abe,True,False,False
35e8dd323072ad8efa1ae1db44921669,True,False,False
3756141b86ca5f2afcacf5113d4e8f83,True,False,False
375b2c9501320b35ceb638a3274812aa,True,False,False
3768074389f48288edbc2c79261dea2b,True,False,False
37a8139578e30b6572bfd3d2145e6543,True,False,False
3858dedc8e091fc0315c50e7f8d74a56,True,False,False
